,Unnamed: 0,X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon,Block
0,0,-78.5077056885633,38.03654479993958,2916,1,10472,Emmet St at Central Grounds Garage,38.0365448,-78.50770569,510030109032003
1,1,-78.5070648199774,38.03832626416571,2917,2,10660,Emmet St at Snyder Tennis Courts,38.03832626,-78.50706482,510030109032003
2,2,-78.51635742082306,38.029071807113546,2918,3,10687,Alderman Road at Stadium Rd northbound,38.02907181,-78.51635742,510030109031003
3,3,-78.4801406867238,38.02955627524532,2919,4,11015,East Water St at 3rd St SE,38.02955627,-78.48014069,515400010001043
4,4,-78.48426818857985,38.03097534108692,2920,5,11036,West Water St at Omni,38.03097534,-78.48426819,515400010001020
5,5,-78.48487091015939,38.031635283926576,2921,6,11043,Omni Hotel at Ridge McIntire Rd,38.03163528,-78.48487091,515400010001020
6,6,-78.4866943365822,38.03070449876137,2922,7,11058,West Main Street at 4th St,38.0307045,-78.48669434,515400010001052
7,7,-78.48680114688773,38.03062820467712,2923,8,11062,West Main Street at 4th Street NW,38.0306282,-78.48680115,515400010001051
8,8,-78.49057006805407,38.03169631973135,2924,9,11091,West Main Street at 8th Street NW (westbound),38.03169632,-78.49057007,515400010001054
9,9,-78.49251556318542,38.031990051923735,2925,10,11101,West Main Street at the Flats,38.03199005,-78.49251556,515400002021032
10,10,-78.4957427972548,38.03289032013504,2926,11,11129,West Main Street at 11th Street NW (westbound),38.03289032,-78.4957428,515400002021028
11,11,-78.49568176352501,38.032669066756185,2927,12,11138,West Main Street at 11th Street SW (eastbound),38.03266907,-78.49568176,515400002021029
12,12,-78.50408935587276,38.032169342406,2928,13,11155,JPA at Cabell Hall,38.03216934,-78.50408936,510030109032007
13,13,-78.50981140210881,38.02882003769764,2929,14,11164,JPA at Montebello Circle,38.02882004,-78.5098114,515400006001017
14,14,-78.51158905099057,38.027629852224216,2930,15,11172,JPA at Shamrock Road,38.02762985,-78.51158905,515400006002000
15,15,-78.49250793397648,38.03220748919603,2931,16,11186,West Main Street opposite 9th Street SW,38.03220749,-78.49250793,515400002021026
16,16,-78.50060272113359,38.032501220896016,2932,17,11193,JPA at UVA Hospital,38.03250122,-78.50060272,510030109032009
17,17,-78.51455688437588,38.02612686202932,2933,18,11210,JPA at Maury Avenue,38.02612686,-78.51455688,515400006002002
18,18,-78.51580810453687,38.027004242250364,2934,19,11223,Maury Avenue at Clark Court,38.02700424,-78.51580811,515400006002002
19,19,-78.5140914910104,38.033824921335636,2935,20,11234,Alderman Road at AFC,38.03382492,-78.51409149,510030109031001
20,20,-78.49984741278081,38.03408050543764,2936,21,11247,University Ave at Women's Center,38.03408051,-78.49984741,510030109032009
21,21,-78.50284576321302,38.036510466899365,2937,22,11281,University Ave at Rotunda,38.03651047,-78.50284576,510030109032007
22,22,-78.4805450429647,38.03129196110046,2938,23,11299,East Market St at 2nd St NE,38.03129196,-78.48054504,515400010001030
23,23,-78.47795868001084,38.03048324627731,2939,24,11309,East Market St at 5th St NE,38.03048325,-78.47795868,515400010001040
24,24,-78.47398376542223,38.02904891980304,2940,25,11321,E Market St. at 10th St.,38.02904892,-78.47398376,515400003021030
25,25,-78.51351928711459,38.01876830975589,2941,26,11350,JPA at Old Lynchburg Road southbound,38.01876831,-78.51351929,515400005023013
26,26,-78.51269531238981,38.01756668037575,2942,27,11366,JPA at Monte Vista Avenue,38.01756668,-78.51269531,515400005024005
27,27,-78.51145172102828,38.015979766260095,2943,28,11378,JPA at Azalea Drive southbound,38.01597977,-78.51145172,515400005025006
28,28,-78.50785827679539,38.0158004768549,2944,29,11397,Harris Road at Willard Drive Eastbound,38.01580048,-78.50785828,515400005025008
29,29,-78.5145034784193,38.02069854790553,2945,30,11439,Cleveland Avenue at JPA Westbound,38.02069855,-78.51450348,515400005022003
30,30,-78.48336792029106,38.03270721438573,2946,31,11494,West Market St at Old Preston,38.03270721,-78.48336792,515400010001020
31,31,-78.47792053243214,38.02640533438986,2947,32,11500,Avon St at Garrett St southbound,38.02640533,-78.47792053,515400004011001
32,32,-78.49662780715491,38.02134704506464,2948,33,11563,Bailey Road at Prospect Avenue,38.02134705,-78.49662781,515400005011011
33,33,-78.49481201159419,38.02393722609765,2949,34,11571,Blue Ridge Commons,38.02393723,-78.49481201,515400005011012
34,34,-78.49416351316191,38.028682708823865,2950,35,11585,Cherry Ave at Cherry Avenue Shopping Ctr,38.02868271,-78.49416351,515400005011008
35,35,-78.50327301095278,38.03198623583598,2951,36,11690,JPA & Brandon Ave,38.03198624,-78.50327301,515400006001005
36,36,-78.51168060347737,38.034175873455546,2952,37,11782,McCormick Road at Chemistry Building,38.03417587,-78.51168059999998,510030109031001
37,37,-78.50601959135476,38.034324645264796,2953,38,11802,McCormick Road at Garrett Hall,38.03432465,-78.50601959,510030109032007
38,38,-78.49223327689184,38.04147338851798,2954,39,11833,Preston Avenue at Madison Avenue (southbound),38.04147339,-78.49223328,515400002012003
39,39,-78.50818634045038,38.031265258166215,2955,40,11846,JPA at Woodrow St,38.03126526,-78.50818634,515400006001015
40,40,-78.50469207790516,38.03617858886899,2956,41,11908,McCormick Road at UVA Chapel,38.03617859,-78.50469208,510030109032007
41,41,-78.507377623836,38.03373336819878,2957,42,11920,McCormick Road at Clark Hall (night stop),38.03373337,-78.50737762,510030109032007
42,42,-78.51318359350148,38.03480911313681,2958,43,11931,McCormick Road at Gilmer Hall (night stop),38.03480911,-78.51318359,510030109031001
43,43,-78.48011779825666,38.02293777503496,2959,44,12047,Avon Street at Blenheim Avenue (northbound),38.02293777,-78.4801178,515400004022014
44,44,-78.48087310712067,38.02188491750528,2960,45,12052,Avon Street at Montrose Avenue northbound,38.02188492,-78.48087311,515400004022020
45,45,-78.4854049683546,38.02367401150321,2961,46,12068,1st St at Elliott Ave,38.02367401,-78.48540497,515400004011004
46,46,-78.47784423829346,38.026157379162655,2962,47,12075,Avon Street at Hinton Ave northbound,38.02615738,-78.47784424,515400004022001
47,47,-78.48758697476954,38.02465057382525,2963,48,12081,Elliott Avenue at Burnet Street,38.02465057,-78.48758698,515400004011016
48,48,-78.49066925134464,38.02701568570291,2964,49,12113,Cherry Avenue at 6th Street SW,38.02701569,-78.49066925,515400005011011
49,49,-78.5042114250697,38.05099487285214,2965,50,12178,Millmont Street behind US Post Office,38.05099487,-78.50421143,515400007003011
50,50,-78.50167846649478,38.05336380028789,2966,51,12184,Millmont Street behind CVS,38.0533638,-78.50167847,515400007003009
51,51,-78.45871734669362,38.024227142701704,2967,52,12412,Chesapeake Street at Riverview Street Westbound,38.02422714,-78.45871735,515400003022005
52,52,-78.47433471782756,38.02182769787523,2968,53,12431,Monticello Avenue at Tufton Avenue,38.0218277,-78.47433472,515400004022016
53,53,-78.46479797456534,38.03017807078765,2969,54,12465,Fairway Avenue at Meade Avenue,38.03017807,-78.46479797,515400003022003
54,54,-78.46569824174381,38.029140473133545,2970,55,12483,Meade Avenue at Caroline Avenue,38.02914047,-78.46569824,515400003021025
55,55,-78.47442627033075,38.021667479835095,2971,56,12505,Monticello Avenue at Castalia Street,38.02166748,-78.47442627,515400004022034
56,56,-78.46244812096455,38.02433013985456,2972,57,12580,East Market Street at 18th Street NE Eastbound,38.02433014,-78.46244812,515400003022017
57,57,-78.46241760217235,38.02672958368869,2973,58,12624,Fairway Avenue at Short 18th Street,38.02672958,-78.4624176,515400003022006
58,58,-78.4635009758115,38.02907562183121,2974,59,12648,Fairway Avenue at Arbor Circle,38.02907562,-78.46350098,515400003022005
59,59,-78.47504424955844,38.01858520470153,2975,60,12676,Monticello Avenue at Elliott Avenue (southbound),38.01858521,-78.47504425,515400004022026
